epoch,global_step,step,tr/batches_p_sec,tr/grad_abs_ave,tr/grad_ave,tr/grad_max,tr/learning_rate,tr/loss,tr/loss_is_nan,tr/loss_ml,tr/output_abs_ave,tr/output_ave,tr/output_max,tr/output_std,tr/time_p_batch,val/angular_ave_max_error,val/angular_ave_max_error_std,val/angular_error,val/angular_error_std,val/ave_model_runtime,val/joint_limits_exceeded,val/l2_ave_max_error,val/l2_ave_max_error_std,val/l2_error,val/l2_error_std,val/self_collisions,val_clamped/angular_ave_max_error,val_clamped/angular_ave_max_error_std,val_clamped/angular_error,val_clamped/angular_error_std,val_clamped/joint_limits_exceeded,val_clamped/l2_ave_max_error,val_clamped/l2_ave_max_error_std,val_clamped/l2_error,val_clamped/l2_error_std,val_clamped/self_collisions
,,0,,,,,,,,,,,,,,3.1234161853790283,0.0064411163330078125,2.109482765197754,2.109482765197754,0.020075321197509766,94.5,1.5272502303123474,0.18295425176620483,0.8556428551673889,0.33897146582603455,4.0,3.1348257064819336,0.003580331802368164,2.2341737747192383,2.2341737747192383,0.0,1.450547218322754,0.25965726375579834,0.820815920829773,0.3149709105491638,2.5
,,0,,0.06983911790969917,-0.053358727204610545,0.404941588640213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25,126.39918030316728,,,,0.0001,1.4692299365997314,0,1.4692299365997314,0.672019898891449,-0.2680952250957489,1.6195554733276367,0.7926182746887207,0.007911443710327148,,,,,,,,,,,,,,,,,,,,,
,,25,,0.09510423280001608,-0.0586367530308749,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,50,115.07638279192274,,,,0.0001,-3.2836875915527344,0,-3.2836875915527344,0.7183899283409119,-0.0068986802361905575,1.911383867263794,0.8552708029747009,0.00868988037109375,,,,,,,,,,,,,,,,,,,,,
,,50,,0.05247734273173895,-0.02029893492384834,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,75,84.61546531098065,,,,0.0001,-5.51141357421875,0,-5.51141357421875,0.7223952412605286,-0.17253485321998596,2.0423762798309326,0.8474635481834412,0.011818170547485352,,,,,,,,,,,,,,,,,,,,,
,,75,,0.06497530716903081,-0.04118874572609125,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100,,,,,,,,,,,,,,3.1272897815704344,0.014868449277146867,2.1815083026885986,2.1815083026885986,0.005773220062255859,50.59,1.4264546167850494,0.15740029963698837,0.754256546497345,0.32174551486968994,0.7000000000000001,3.1234786319732666,0.021678567692541936,2.177957057952881,2.177957057952881,0.0,1.3934723734855652,0.1598815288462655,0.7372423410415649,0.31871309876441956,0.41000000000000003
0,100.0,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
