version,model_file,l2_error_mm
0,iiwa7_L__atomic-snowball-34__global_step=0.012M.pkl,44.6231
1,iiwa7_L__atomic-snowball-34__global_step=0.018M.pkl,29.9971
2,iiwa7_L__atomic-snowball-34__global_step=0.024M.pkl,24.042
3,iiwa7_L__atomic-snowball-34__global_step=0.03M.pkl,19.1683
4,iiwa7_L__atomic-snowball-34__global_step=0.036M.pkl,16.1621
5,iiwa7_L__atomic-snowball-34__global_step=0.042M.pkl,15.7715
6,iiwa7_L__atomic-snowball-34__global_step=0.048M.pkl,14.1764
7,iiwa7_L__atomic-snowball-34__global_step=0.054M.pkl,13.8425
8,iiwa7_L__atomic-snowball-34__global_step=0.06M.pkl,11.1435
9,iiwa7_L__atomic-snowball-34__global_step=0.066M.pkl,11.5038
10,iiwa7_L__atomic-snowball-34__global_step=0.072M.pkl,11.8371
11,iiwa7_L__atomic-snowball-34__global_step=0.078M.pkl,8.2846
12,iiwa7_L__atomic-snowball-34__global_step=0.084M.pkl,10.237
13,iiwa7_L__atomic-snowball-34__global_step=0.09M.pkl,7.7778
14,iiwa7_L__atomic-snowball-34__global_step=0.096M.pkl,9.4785
15,iiwa7_L__atomic-snowball-34__global_step=0.102M.pkl,7.0054
16,iiwa7_L__atomic-snowball-34__global_step=0.108M.pkl,9.9589
17,iiwa7_L__atomic-snowball-34__global_step=0.114M.pkl,8.4511
18,iiwa7_L__atomic-snowball-34__global_step=0.12M.pkl,8.1609
19,iiwa7_L__atomic-snowball-34__global_step=0.126M.pkl,9.923
20,iiwa7_L__atomic-snowball-34__global_step=0.132M.pkl,8.4749
21,iiwa7_L__atomic-snowball-34__global_step=0.138M.pkl,6.524
22,iiwa7_L__atomic-snowball-34__global_step=0.144M.pkl,8.2219
23,iiwa7_L__atomic-snowball-34__global_step=0.15M.pkl,7.3096
24,iiwa7_L__atomic-snowball-34__global_step=0.156M.pkl,8.1247
25,iiwa7_L__atomic-snowball-34__global_step=0.162M.pkl,6.7026
26,iiwa7_L__atomic-snowball-34__global_step=0.168M.pkl,8.1071
27,iiwa7_L__atomic-snowball-34__global_step=0.174M.pkl,5.0295
28,iiwa7_L__atomic-snowball-34__global_step=0.18M.pkl,8.3882
29,iiwa7_L__atomic-snowball-34__global_step=0.186M.pkl,5.767
30,iiwa7_L__atomic-snowball-34__global_step=0.192M.pkl,6.5079
31,iiwa7_L__atomic-snowball-34__global_step=0.198M.pkl,7.4019
32,iiwa7_L__atomic-snowball-34__global_step=0.204M.pkl,6.6213
33,iiwa7_L__atomic-snowball-34__global_step=0.21M.pkl,7.269
34,iiwa7_L__atomic-snowball-34__global_step=0.216M.pkl,7.6653
35,iiwa7_L__atomic-snowball-34__global_step=0.222M.pkl,6.4218
36,iiwa7_L__atomic-snowball-34__global_step=0.228M.pkl,6.7574
37,iiwa7_L__atomic-snowball-34__global_step=0.234M.pkl,7.6679
38,iiwa7_L__atomic-snowball-34__global_step=0.24M.pkl,6.9537
39,iiwa7_L__atomic-snowball-34__global_step=0.246M.pkl,5.7869
40,iiwa7_L__atomic-snowball-34__global_step=0.252M.pkl,6.5904
41,iiwa7_L__atomic-snowball-34__global_step=0.258M.pkl,6.2488
42,iiwa7_L__atomic-snowball-34__global_step=0.264M.pkl,7.1046
43,iiwa7_L__atomic-snowball-34__global_step=0.27M.pkl,6.098
44,iiwa7_L__atomic-snowball-34__global_step=0.276M.pkl,6.2761
45,iiwa7_L__atomic-snowball-34__global_step=0.282M.pkl,7.6384
46,iiwa7_L__atomic-snowball-34__global_step=0.288M.pkl,10.4787
47,iiwa7_L__atomic-snowball-34__global_step=0.294M.pkl,6.5104
48,iiwa7_L__atomic-snowball-34__global_step=0.3M.pkl,6.5909
49,iiwa7_L__atomic-snowball-34__global_step=0.306M.pkl,6.7696
50,iiwa7_L__atomic-snowball-34__global_step=0.312M.pkl,6.8765
51,iiwa7_L__atomic-snowball-34__global_step=0.318M.pkl,5.0303
52,iiwa7_L__atomic-snowball-34__global_step=0.324M.pkl,3.7888
53,iiwa7_L__atomic-snowball-34__global_step=0.33M.pkl,5.4525
54,iiwa7_L__atomic-snowball-34__global_step=0.336M.pkl,5.7839
55,iiwa7_L__atomic-snowball-34__global_step=0.342M.pkl,6.1198
56,iiwa7_L__atomic-snowball-34__global_step=0.348M.pkl,5.6954
57,iiwa7_L__atomic-snowball-34__global_step=0.354M.pkl,6.5337
58,iiwa7_L__atomic-snowball-34__global_step=0.36M.pkl,4.901
59,iiwa7_L__atomic-snowball-34__global_step=0.366M.pkl,5.2667
60,iiwa7_L__atomic-snowball-34__global_step=0.372M.pkl,5.0472
61,iiwa7_L__atomic-snowball-34__global_step=0.378M.pkl,7.854
62,iiwa7_L__atomic-snowball-34__global_step=0.384M.pkl,6.3267
