version,model_file,l2_error_mm
1,iiwa7_N__zesty-dust-31__global_step=0.01M.pkl,66.6115
2,iiwa7_N__zesty-dust-31__global_step=0.015M.pkl,46.762
3,iiwa7_N__zesty-dust-31__global_step=0.02M.pkl,26.8555
4,iiwa7_N__zesty-dust-31__global_step=0.025M.pkl,22.3592
5,iiwa7_N__zesty-dust-31__global_step=0.03M.pkl,21.5444
6,iiwa7_N__zesty-dust-31__global_step=0.035M.pkl,19.5873
7,iiwa7_N__zesty-dust-31__global_step=0.04M.pkl,17.6831
8,iiwa7_N__zesty-dust-31__global_step=0.045M.pkl,19.4279
9,iiwa7_N__zesty-dust-31__global_step=0.05M.pkl,15.4298
10,iiwa7_N__zesty-dust-31__global_step=0.055M.pkl,13.7213
11,iiwa7_N__zesty-dust-31__global_step=0.06M.pkl,14.6294
12,iiwa7_N__zesty-dust-31__global_step=0.065M.pkl,12.0187
13,iiwa7_N__zesty-dust-31__global_step=0.07M.pkl,14.488
14,iiwa7_N__zesty-dust-31__global_step=0.075M.pkl,11.4557
15,iiwa7_N__zesty-dust-31__global_step=0.08M.pkl,14.3838
16,iiwa7_N__zesty-dust-31__global_step=0.085M.pkl,10.885
17,iiwa7_N__zesty-dust-31__global_step=0.09M.pkl,10.5303
18,iiwa7_N__zesty-dust-31__global_step=0.095M.pkl,10.437
19,iiwa7_N__zesty-dust-31__global_step=0.1M.pkl,10.6063
20,iiwa7_N__zesty-dust-31__global_step=0.105M.pkl,9.6862
21,iiwa7_N__zesty-dust-31__global_step=0.11M.pkl,8.2568
22,iiwa7_N__zesty-dust-31__global_step=0.115M.pkl,12.779
23,iiwa7_N__zesty-dust-31__global_step=0.12M.pkl,11.2728
24,iiwa7_N__zesty-dust-31__global_step=0.125M.pkl,11.5488
25,iiwa7_N__zesty-dust-31__global_step=0.13M.pkl,10.203
26,iiwa7_N__zesty-dust-31__global_step=0.135M.pkl,12.7273
27,iiwa7_N__zesty-dust-31__global_step=0.14M.pkl,6.9629
28,iiwa7_N__zesty-dust-31__global_step=0.145M.pkl,7.8394
29,iiwa7_N__zesty-dust-31__global_step=0.15M.pkl,9.3349
